,Unnamed: 0,department,division,position_title,city,gender,ethnicity,education,veteran_status,startyear,birthyear,tenure,age
0,0,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Virginia Beach,Male,Black,Not Indicated,Not Indicated,2009,1967,14,56
1,1,City Treasurer,City Treasurer,Deputy IV - TR,Norfolk,Male,Black,Bachelors Level Degree,Not Indicated,2013,1968,10,55
2,2,Utilities,Utilities Water Production,General Utility Maint Supv,Virginia Beach,Male,White,Not Indicated,Not Indicated,2013,1955,10,68
3,3,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Suffolk,Male,Black,Not Indicated,Not Indicated,2009,1969,14,54
4,4,General Services,General Services-Parking Fac,Accountant I,Norfolk,Female,Black,Masters Level Degree,Not Indicated,2018,1978,5,45
5,5,City Council,City Council,Member Of Council,Norfolk,Male,Black,Masters Level Degree,Not Indicated,2023,1970,0,53
6,6,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),Virginia Beach,Female,White,Not Indicated,Not Indicated,2008,1980,15,43
7,7,Police,Police Field Operations-Guards,School Crossing Guard,Virginia Beach,Female,Black,Less Than HS Graduate,Not Indicated,2019,1997,4,26
8,8,Commonwealths Attorney,Commonwealth's Attorney,Deputy Commonwealth's Att,Norfolk,Male,White,Not Indicated,Not Indicated,2012,1984,11,39
9,9,Police,Police Field Operations-Sworn,Master Police Officer,Norfolk,Male,Asian,Not Indicated,Not Indicated,2009,1969,14,54
10,10,City Manager,City Manager - Norfolk Arts,Arts Manager,Norfolk,Female,White,Not Indicated,Not Indicated,2012,1954,11,69
11,11,Parks and Recreation,RPOS - Landscape Services,Tree Trimmer I,Norfolk,Male,Black,HS Graduate or Equivalent,Not Indicated,2019,1969,4,54
12,12,Neighborhood Services,Neighborhood Development,Neighborhood Services Manager,Norfolk,Male,White,Not Indicated,Not Indicated,2010,1973,13,50
13,13,Police,Police Field Operations-Civiln,Humane Officer I,Norfolk,Male,White,Not Indicated,Not Indicated,2010,1984,13,39
14,14,Public Works,PW Div of Streets & Bridges,"Utility MaintenanceSupv, Sr",Norfolk,Male,Black,Not Indicated,Not Indicated,2010,1977,13,46
15,15,Clerk of the Circuit Court,Clerk of the Circuit Court,Deputy Clerk III-CC,Norfolk,Female,Black,Some College,Not Indicated,2013,1985,10,38
16,16,Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Norfolk,Male,White,Not Indicated,Not Indicated,2012,1982,11,41
17,17,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),Portsmouth,Male,Black,Bachelors Level Degree,Not Indicated,2014,1990,9,33
18,18,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Norfolk,Male,Black,Not Indicated,Not Indicated,2009,1987,14,36
19,19,Public Works,Public Works-Towing Operations,Support Technician,Virginia Beach,Male,Black,Some College,Not Indicated,2014,1990,9,33
20,20,Clerk of the Circuit Court,Clerk of the Circuit Court,Administrative Manager-CC,Norfolk,Female,White,Not Indicated,Not Indicated,2009,1964,14,59
21,21,Sheriff and Jail,Judicial - Sheriff and Jail,Executive Assistant - SC,Virginia Beach,Female,White,Not Indicated,Not Indicated,2009,1986,14,37
22,22,Norfolk Community Services Board,NCSB-Medical Services,Support Technician,Portsmouth,Female,White,Not Indicated,Not Indicated,2012,1985,11,38
23,23,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Chesapeake,Male,Black,Not Indicated,Not Indicated,2010,1981,13,42
24,24,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Norfolk,Male,Asian,Not Indicated,Not Indicated,2012,1984,11,39
25,25,Clerk of the Circuit Court,Clerk of the Circuit Court,In Court Clerk-CC,Norfolk,Female,White,Some College,Not Indicated,2014,1993,9,30
26,26,Libraries,Branch Operations,Messenger/Driver,Norfolk,Male,Black,HS Graduate or Equivalent,Not Indicated,2011,1963,12,60
27,27,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Chesapeake,Female,Black,Not Indicated,Not Indicated,2011,1986,12,37
28,28,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,White,Not Indicated,Not Indicated,2012,1969,11,54
29,29,Utilities,Utilities WasteWater,Utility Maintenance Supervisor,Virginia Beach,Male,Black,Not Indicated,Not Indicated,2012,1988,11,35
30,30,Fire-Rescue,Fire-Rescue,Fire Inspector,Virginia Beach,Male,White,Not Indicated,Not Indicated,2012,1988,11,35
31,31,Public Works,PW Div of Streets & Bridges,Automotive Mechanic,Virginia Beach,Male,Black,HS Graduate or Equivalent,Not Indicated,2017,1971,6,52
32,32,Public Works,PW Div of Streets & Bridges,Street Maintenance Supv,Virginia Beach,Male,White,HS Graduate or Equivalent,Not Indicated,2012,1990,11,33
33,33,Public Works,PW Div of Streets & Bridges,Street Maintenance Supv,Norfolk,Male,Black,Not Indicated,Not Indicated,2012,1979,11,44
34,34,Clerk of the Circuit Court,Clerk of the Circuit Court,Deputy Clerk II-CC,Norfolk,Female,White,Not Indicated,Not Indicated,2008,1977,15,46
35,35,Clerk of the Circuit Court,Clerk of the Circuit Court,Deputy Clerk II-CC,Norfolk,Male,Black,Some College,Not Indicated,2013,1990,10,33
36,36,Clerk of the Circuit Court,Clerk of the Circuit Court,Supervising Deputy Clerk-CC,Norfolk,Male,White,Not Indicated,Not Indicated,2010,1959,13,64
37,37,Public Works,PW Storm Water Mgmt,Utility Maintenance Mech II,Virginia Beach,Male,Black,HS Graduate or Equivalent,Not Indicated,2010,1991,13,32
38,38,Norfolk Community Services Board,NCSB- Mental Health Counseling,Counselor IV,Norfolk,Female,Black,Not Indicated,Not Indicated,2011,1982,12,41
39,39,Police,Police Investigative Svc-Sworn,Master Police Officer,Virginia Beach,Male,White,HS Graduate or Equivalent,Not Indicated,2012,1978,11,45
40,40,Public Works,PW Div of Streets & Bridges,Maintenance Worker I,Chesapeake,Male,Black,HS Graduate or Equivalent,Not Indicated,2019,1974,4,49
41,41,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,White,Not Indicated,Not Indicated,2010,1969,13,54
42,42,Fire-Rescue,Fire-Rescue,Fire Lieutenant,Chesapeake,Male,White,Not Indicated,Not Indicated,2010,1989,13,34
43,43,Utilities,Utilities WasteWater,Equipment Operator III,Norfolk,Male,Black,HS Graduate or Equivalent,Not Indicated,2019,1979,4,44
44,44,Police,Police Investigative Svc-Sworn,Police Sergeant,Virginia Beach,Male,White,Bachelors Level Degree,Not Indicated,2011,1983,12,40
45,45,Transit,Transit - Transportation,Engineering Technician II,Chesapeake,Male,White,Not Indicated,Not Indicated,2010,1956,13,67
46,46,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),Chesapeake,Male,Black,Not Indicated,Not Indicated,2009,1959,14,64
47,47,Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Chesapeake,Female,Black,Not Indicated,Not Indicated,2012,1968,11,55
48,48,Transit,Transit - Transportation,Maintenance Shop Manager,Chesapeake,Male,Black,Not Indicated,Not Indicated,2008,1983,15,40
49,49,City Planning,Planning-Planning,Principal Planner,Chesapeake,Male,White,Masters Level Degree,Not Indicated,2012,1990,11,33
50,50,Police,Police Field Operations-Guards,School Crossing Guard,Norfolk,Female,White,Not Indicated,Not Indicated,2009,1967,14,56
51,51,Police,Police Administrative Svcs-Swn,Police Recruit,Norfolk,Male,White,Some College,Not Indicated,2023,1993,0,30
52,52,Utilities,Utilities WasteWater,Crew Leader I,Virginia Beach,Male,Black,Not Indicated,Not Indicated,2010,1985,13,38
53,53,Police,Police Investigative Svc-Sworn,Police Sergeant,Virginia Beach,Male,White,Some College,Not Indicated,2010,1986,13,37
54,54,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,White,Not Indicated,Not Indicated,2010,1985,13,38
55,55,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),Norfolk,Male,Black,HS Graduate or Equivalent,Not Indicated,2012,1966,11,57
56,56,Transit,Transit - Transportation,Traffic Signal Technician IV,Virginia Beach,Male,White,Not Indicated,Not Indicated,2011,1980,12,43
57,57,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,White,Not Indicated,Not Indicated,2009,1979,14,44
58,58,Utilities,Utilities Engineering,Engineering Technician III,Oxon Hill,Female,Black,Not Indicated,Not Indicated,2011,1965,12,58
