,Unnamed: 0.1,Unnamed: 0,department,division,job_title,employee_classification,start_date,title_date,flsa_status,annual_base_rate,start_year,annual_salary,employee_status
0,0,0,City Council,City Council,Member Of Council,Elected Official,2021-01-14T00:00:00.000,2021-01-14T00:00:00.000,Exempt,25000.0,2021,25000.0,OTHER
1,1,1,City Council,City Council,Member Of Council,Elected Official,1998-07-24T00:00:00.000,2010-07-01T00:00:00.000,Exempt,25000.0,1998,25000.0,OTHER
2,2,2,City Council,City Council,Member Of Council,Elected Official,2018-07-01T00:00:00.000,2018-07-01T00:00:00.000,Exempt,25000.0,2018,25000.0,OTHER
3,3,3,City Council,City Council,President Of Council,Elected Official,2016-07-01T00:00:00.000,2016-07-01T00:00:00.000,Exempt,27000.0,2016,27000.0,OTHER
4,4,4,City Council,City Council,Member Of Council,Elected Official,2016-07-01T00:00:00.000,2016-07-01T00:00:00.000,Exempt,25000.0,2016,25000.0,OTHER
5,5,5,City Council,City Council,Member Of Council,Elected Official,2023-01-01T00:00:00.000,2023-01-01T00:00:00.000,Exempt,25000.0,2023,25000.0,OTHER
6,6,6,City Council,City Council,Member Of Council,Elected Official,2014-07-01T00:00:00.000,2014-07-01T00:00:00.000,Exempt,25000.08,2014,25000.08,OTHER
7,7,7,City Council,City Council,Member Of Council,Elected Official,1999-06-21T00:00:00.000,2016-08-31T00:00:00.000,Exempt,25000.0,1999,25000.0,OTHER
8,8,8,City Manager,Executive City Manager,Special Assistant,Permanent Full-time,2023-01-03T00:00:00.000,2022-12-31T00:00:00.000,Exempt,85000.0,2023,85000.0,FT
9,9,9,City Manager,City Manager - Norfolk Arts,Bureau Manager,Permanent Full-time,2006-01-03T00:00:00.000,2006-01-03T00:00:00.000,Exempt,103158.21,2006,103158.21,FT
10,10,10,City Manager,City Manager - Norfolk Arts,Arts Manager,Permanent Full-time,2012-03-05T00:00:00.000,2012-03-05T00:00:00.000,Exempt,74761.83,2012,74761.83,FT
11,11,11,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,2018-12-10T00:00:00.000,2018-12-10T00:00:00.000,Nonexempt,21.64,2018,45011.200000000004,RET
12,12,12,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer I,Special Project w/ Retirement,2021-04-10T00:00:00.000,2022-05-23T00:00:00.000,Nonexempt,18.48,2021,38438.4,RET
13,13,13,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer I,Special Project w/ Retirement,2023-03-25T00:00:00.000,2023-03-25T00:00:00.000,Nonexempt,18.48,2023,38438.4,RET
14,14,14,City Manager,City Manager - Norfolk Arts,Multimedia Comm Specialist II,Permanent Full-time,1989-07-10T00:00:00.000,2010-11-23T00:00:00.000,Exempt,52754.98,1989,52754.98,FT
15,15,15,City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,2021-07-26T00:00:00.000,2021-07-26T00:00:00.000,Exempt,204863.4,2021,204863.4,FT
16,16,16,City Manager,City Manager-NCJS Adlt Com Sup,Administrative Technician,Special Project w/ Retirement,2006-11-27T00:00:00.000,2008-07-01T00:00:00.000,Nonexempt,18.37,2006,38209.600000000006,RET
17,17,17,City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,2007-06-18T00:00:00.000,2021-07-03T00:00:00.000,Exempt,204863.4,2007,204863.4,FT
18,18,18,City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,2021-09-07T00:00:00.000,2021-09-07T00:00:00.000,Exempt,204863.4,2021,204863.4,FT
19,19,19,City Manager,Executive City Manager,Management Analyst II,Permanent Full-time,2002-09-30T00:00:00.000,2022-06-21T00:00:00.000,Exempt,60900.0,2002,60900.0,FT
20,20,20,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer I,Special Project w/ Retirement,2017-06-24T00:00:00.000,2019-08-17T00:00:00.000,Nonexempt,18.48,2017,38438.4,RET
21,21,21,City Manager,Executive City Manager,"Asst to the Cty Manager, Sr",Permanent Full-time,1998-08-04T00:00:00.000,2015-05-04T00:00:00.000,Exempt,100000.95,1998,100000.95,FT
22,22,22,City Manager,Executive City Manager,Intergovernmental Relations Of,Permanent Full-time,2015-06-01T00:00:00.000,2017-03-06T00:00:00.000,Exempt,110250.0,2015,110250.0,FT
23,23,23,City Manager,Executive City Manager,Chief of Staff,Permanent Full-time,2016-09-19T00:00:00.000,2021-08-16T00:00:00.000,Exempt,173250.0,2016,173250.0,FT
24,24,24,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,1991-08-01T00:00:00.000,2007-07-01T00:00:00.000,Nonexempt,27.67,1991,57553.600000000006,RET
25,25,25,City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,2017-09-11T00:00:00.000,2017-09-11T00:00:00.000,Exempt,204863.82,2017,204863.82,FT
26,26,26,City Manager,Executive City Manager,Mgmt Analyst III (CMO Only),Permanent Full-time,2006-01-09T00:00:00.000,2022-04-11T00:00:00.000,Exempt,84000.0,2006,84000.0,FT
27,27,27,City Manager,Executive City Manager,Mgmt Analyst II (CMO Only),Permanent Full-time,2022-03-28T00:00:00.000,2022-03-28T00:00:00.000,Exempt,60900.0,2022,60900.0,FT
28,28,28,City Manager,City Manager-NCJS Adlt Com Sup,Program Supervisor,Special Project w/ Retirement,2001-02-12T00:00:00.000,2015-02-18T00:00:00.000,Exempt,67118.16,2001,67118.16,RET
29,29,29,City Manager,Executive City Manager,Chief of Staff,Permanent Full-time,2006-08-01T00:00:00.000,2023-01-21T00:00:00.000,Exempt,150000.0,2006,150000.0,FT
